,Date,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
584,2014-06-08,Namecoin,NMC,1.3227894441292735e-05,2.914606416665417e-05,1.4760787898842704e-08,0.6193592057761733,5.27,0.008387112394569561
585,2014-06-08,Omni,OMNI,1.08445843395908e-05,0.0003464002632934598,5.867609256438948e-10,0.5449007220216606,3.44,0.014240812804845838
586,2014-06-08,BlackCoin,BLK,8.345590982421665e-06,2.219080896754684e-06,1.260332540713229e-07,0.5658844765342961,-7.76,0.0069872426969062
587,2014-06-15,Bitcoin,BTC,0.0054516499125027255,0.008312206023109675,2.1427661475285654e-08,0.6435018050541517,3.18,0.00847845609339508
588,2014-06-15,Litecoin,LTC,0.00020762056874412812,0.0001393395002313381,4.928698442660806e-08,0.6222924187725631,0.81,0.008250647109577222
589,2014-06-15,Nxt,NXT,5.4305634655202154e-05,1.0694131031455333e-06,1.6964896977965673e-06,0.6592960288808665,7.67,0.011422364459157262
590,2014-06-15,Dash,DASH,3.228586887378019e-05,0.000145092745719659,6.980247610826319e-09,0.6719314079422383,1.42,0.010822577521086087
591,2014-06-15,Peercoin,PPC,2.6596909427634396e-05,2.4411973032624052e-05,3.599284429801716e-08,0.6236462093862816,1.19,0.008605016639960557
592,2014-06-15,XRP,XRP,2.3319639042346988e-05,5.876805687477948e-08,1.3266174389337374e-05,0.6423736462093863,4.88,0.010018092655526403
593,2014-06-15,Dogecoin,DOGE,2.195200416772796e-05,5.1692293892871386e-09,0.00014032545663151606,0.6403429602888087,-0.47,0.009908040006339033
594,2014-06-15,Namecoin,NMC,1.1771202472923837e-05,2.5777387532045232e-05,1.4864387249023055e-08,0.6245487364620939,0.71,0.008312276593122149
595,2014-06-15,Omni,OMNI,8.6480759895696e-06,0.00027672767538664987,5.867609256438948e-10,0.6439530685920578,5.41,0.0071820358859678475
596,2014-06-15,Startcoin,START,7.562646406036744e-06,3.5536544115893523e-06,7.120218563171377e-08,0.575812274368231,0.0,0.009526157313658854
597,2014-06-22,Bitcoin,BTC,0.0055508909702338205,0.008442999835015215,2.1480649021712865e-08,0.6107851985559567,1.05,0.009887130002993433
598,2014-06-22,Litecoin,LTC,0.0002056433812538748,0.0001370053984433132,4.9653018494321434e-08,0.598826714801444,-0.69,0.009463427303622053
